bigram,score,n,sentiment
waiting time,1,31,Negative
very rude,1,11,Negative
very late,1,7,Negative
too expensive,1,10,Negative
rip off,1,17,Negative
long time,1,28,Negative
extra money,1,36,Negative
waiting time,2,3,Negative
waiting minutes,2,1,Negative
wait time,2,7,Negative
wait minutes,2,1,Negative
very rude,2,1,Negative
too long,2,6,Negative
too expensive,2,2,Negative
rip off,2,1,Negative
not working,2,3,Negative
more money,2,5,Negative
more expensive,2,4,Negative
don't use,2,1,Negative
canceled ride,2,1,Negative
can't find,2,3,Negative
way more,3,1,Negative
waiting time,3,6,Negative
wait times,3,3,Negative
wait time,3,3,Negative
wait minutes,3,2,Negative
very rude,3,1,Negative
very late,3,3,Negative
too long,3,5,Negative
too expensive,3,2,Negative
rip off,3,1,Negative
request ride,3,1,Negative
not work,3,1,Negative
next ride,3,1,Negative
most time,3,1,Negative
more money,3,1,Negative
more expensive,3,4,Negative
miles away,3,1,Negative
long time,3,4,Negative
extra charge,3,1,Negative
don't use,3,1,Negative
charge extra,3,1,Negative
can't find,3,2,Negative
are rude,3,1,Negative
very good,4,39,Positive
good service,4,31,Positive
good experience,4,24,Positive
good but,4,19,Positive
very nice,4,16,Positive
easy use,4,10,Positive
very easy,4,6,Positive
first time,4,5,Positive
best ride,4,5,Positive
very fast,4,4,Positive
best service,4,4,Positive
very useful,4,3,Positive
very satisfied,4,3,Positive
very reliable,4,3,Positive
very polite,4,3,Positive
very helpful,4,3,Positive
user friendly,4,3,Positive
nice service,4,3,Positive
nice ride,4,3,Positive
good ride,4,3,Positive
very good,5,511,Positive
good service,5,347,Positive
good experience,5,151,Positive
excellent,5,112,Positive
great service,5,97,Positive
very helpful,5,54,Positive
very friendly,5,50,Positive
best service,5,48,Positive
nice ride,5,41,Positive
very convenient,5,39,Positive
nice service,5,39,Positive
nice experience,5,35,Positive
professional,5,33,Positive
very polite,5,29,Positive
fast service,5,25,Positive
affordable,5,25,Positive
good job,5,23,Positive
nice trip,5,22,Positive
clean car,5,22,Positive
great ride,5,20,Positive